Station_levl,测站级别
V_RETAIN5,保留字段5
V_RETAIN6,保留字段6
V_RETAIN7,保留字段7
V_RETAIN8,保留字段8
V_RETAIN9,保留字段9
V_RETAIN10,保留字段10
PRS_Max_Days,极端最高本站气压出现日数
PRS_Max_ODay_C,极端最高本站气压出现日
PRS_Min_Days,极端最低本站气压出现日数
PRS_Min_ODay_C,极端最低本站气压出现日
TEM_Max_Avg,平均最高气温
TEM_Min_Avg,平均最低气温
TEM_Max_Days,极端最高气温出现日数
TEM_Max_ODay_C,极端最高气温出现日
TEM_Min_Days,极端最低气温出现日数
TEM_Min_ODay_C,极端最低气温出现日
TEM_Avg_Dev,平均气温日较差
TEM_Max_Dev,最高气温日较差
V12304_040,最大气温日较差出现日数
TEM_Dev_Max_ODay_C,最高气温日较差出现日
TEM_Min_Dev_Mon,最低气温日较差
TEM_Dev_Min_Days,最小气温日较差出现日数
TEM_Dev_Min_ODay_C,最低气温日较差出现日
TEM_Max_A30C_Days,日最高气温≥30℃日数
TEM_Max_A35C_Days,日最高气温≥35℃日数
TEM_Max_A40C_Days,日最高气温≥40℃日数
TEM_Min_B2C_Days,日最低气温＜2Cel日数
TEM_Min_B0C_Days,日最低气温＜0℃日数
TEM_Min_Bn2C_Days,日最低气温＜-2℃日数
TEM_Min_Bn15C_Days,日最低气温＜-15℃日数
TEM_Min_Bn30C_Days,日最低气温＜-30℃日数
TEM_Min_Bn40C_Days,日最低气温＜-40Cel日数
TEM_Avg_A26_Days,冷度日数(日平均气温≥26.0℃)
TEM_Avg_B18_Days,暖度日数(日平均气温≤18.0℃)
RHU_Min_Days,最小相对湿度出现日数
RHU_Min_ODay_C,最小相对湿度出现日
CLO_Cov_Avg_B2_Days,日平均总云量<2.0日数
CLO_Cov_A8_Days,日平均总云量>8.0日数
CLO_Low_Cov_Avg_B2_Days,日平均低云量<2.0日数
CLO_Cov_Avg_A8_Days,日平均低云量>8.0日数
PRE_Max_Day,最大日降水量
PRE_Max_Mon_Days,月最大日降水量出现日数
PRE_Max_ODay_C,最大日降水量出现日
PRE_A0p1mm_Days,日降水量≥0.1mm日数
PRE_A1mm_Days,日降水量≥1mm日数
PRE_A5mm_Days,日降水量≥5mm日数
PRE_A10mm_Days,日降水量≥10mm日数
PRE_A25mm_Days,日降水量≥25mm日数
PRE_A50mm_Days,日降水量≥50mm日数
PRE_A100mm_Days,日降水量≥100mm日数
PRE_A150mm_Days,日降水量≥150mm日数
PRE_Day_A250_Days,日降水量>=250mm日数
Days_Max_Coti_PRE,最长连续降水日数
PRE_Conti_Max,最长连续降水量
EDay_Max_Coti_PRE,最长连续降水止日
NPRE_LCDays,最长连续无降水日数
NPRE_LCDays_EDay,最长连续无降水止日
PRE_Max_Conti,最大连续降水量
Days_Max_Conti_PRE,最大连续降水日数
PRE_Coti_Max_EDay,最大连续降水止日
PRE_Max_1h_Days,1小时最大降雨量出现日数
PRE_Max_1h_ODay_C,1小时最大降水量出现日
PRE_Days,雨日数
Hail_Days,冰雹日数
Mist_Days,轻雾日数
V04330_001,露日数
Glaze_Days,雨凇日数
SoRi_Days,雾凇日数
ICE_Days,结冰日数
FlSa_Days,扬沙日数
FlDu_Days,浮尘日数
Haze_Days,霾日数
Tord_Days,龙卷风日数
GaWIN_Days,大风日数
SaSt_Days,沙尘暴日数
Fog_Days,雾日数
Thund_Days,雷暴日数
Frost_Days,霜日数
Snow_Days,降雪日数
GSS_Days,积雪日数
EICE_Days,电线积冰(雨凇+雾凇)日数
VIS_B10km_Freq,能见度≤10km出现频率
VIS_B5km_Freq,能见度<5km出现频
VIS_B1km_Freq,能见度≤1000m出现频率
Snow_Depth_Max,旬内最大积雪深度
V13334_040,最大积雪深度日数
V13334_060_C,最大积雪深度出现日
Snow_PRS_Max_Days,最大雪压出现日数
V13330_060,旬内最大雪压出现日
Snow_Depth_A1cm_Days,积雪深度≥1cm日数
